Course ID;Course Name;Credit Hours;Description;Major
BC 6005;Technology Applications in the Construction Industry;3;Hands-on exploration of various present and Future technologies that can be applied in all stages of a facilities' lifecycle;Building Construction
BC 6006;Advanced Cost Management;3;Cost management and control from early project inception to completion and applications throughout the life of a facility;Building Construction
BC 6010;History of Construction Industry;3;Addresses how today's construction industry is organized and its particular characteristics, how it evolved from early times and where it may be heading in the future;Building Construction
BC 6025;Construction Management;3;An accelerated paced course providing graduate students a basic understanding of fundamental topics including planning, budgeting, estimating, scheduling and project closeout;Building Construction
BC 6050;Building Information Modeling for Multi-disciplinary Integration;3;This course introduces students to BIM and the changes it has been causing to the traditional design, planning, management, construction, facility management, and contracting practices. Credit will not be awarded for both BC 4050 and BC 6050;Building Construction
BC 6070;Construction X;3;Course introduces the Construction 4.0 framework. It presents concepts related to cyber-physical systems and various component technologies as an innovation platform for the built environment;Building Construction
BC 6080;Digital Twins for the Built Environment;3;Course introduces Digital Twin in built environment applications. Digital Twin integrate various technologies to create a living digital representation of a facility through its lifecycle;Building Construction
BC 6100;Professional Trends in Facility Management;3;An introductory course covering the organizational, managerial, ethical, and legal principles for the delivery of facility management services.  Includes contracts and risk management;Building Construction
BC 6125;Professional Internship;3;A course in which students work for a professional architecture/engineering/construction company in which they learn, first-hand, about the construction industry;Building Construction
BC 6150;Design-Build Organization and Management;3;Introduction to Design-Build (DB) as a project delivery system.  Provides information about the organization, the process, and the effects of DB on the industry;Building Construction
BC 6175;Real Estate Development and Construction;3;Provides an overview of the real estate development process as it pertains to construction development including trends and current issues;Building Construction
BC 6185;Introduction to Construction Program Management;3;Survey of the construction program management profession, focusing on the comprehensive management of single and multiple building programs including pre-design, design, construction and post-construction activities;Building Construction
BC 6200;Maintenance Management of Built Assets;3;This course covers the processes by which a facility and its systems are serviced and maintained during the facility's life cycle.  Includes acquisition, installation, operation, maintenance, and disposal of built assets;Building Construction
BC 6250;Value Management for Integrated Facility Design and Construction;3;Principles and methodology of value management analysis concepts and an examination of future values and worth criteria affecting building design, construction, furnishings, and operations performance;Building Construction
BC 6270;Community Design and Development;3;An overview of the principles of smart growth, livable communities and new urbanism and how these principles are implemented in the process from design to construction and marketing;Building Construction
BC 6275;Community Dsgn & Constr;3;An overview of the principles of smart growth, livable communities and new urbanism and how these principles are implemented in the process from design to construction and marketing;Building Construction
BC 6285;Management of Pre-design Phase as Owner;3;Examination of the Program Manager's role and responsibilities as owner during the pre-design phase including feasibility, organization, financing, legal, entitlement, planning, budgeting, scheduling, and team selection;Building Construction
BC 6300;Safety and Environmental Issues;3;This course covers the environmental issues related to the performance of buildings and the health and risk factors for new and existing buildings;Building Construction
BC 6350;Design and Construction Law;3;Overview of construction law and legal issues encountered by the construction manager including U.S. laws, general concepts and definitions, contractor relationships, and relevant case studies;Building Construction
BC 6370;Real Estate Policy, Trends, Ethics;3;The application of market, community, and policy factors to create new development while professionally managing potential conflicts between these factors;Building Construction
BC 6375;Trends & Pol For Res Dev;3;An overview of development in the United States, current trends in residential development, and the impact of governmental regulations on residential development. This course is designed to help Building Construction students understand how their development impacts the social environment and quality of life of the community;Building Construction
BC 6385;Management of Design Phase as Owner;3;Examination of the Program Manager's role and responsibilities as Owner during the design phase;Building Construction
BC 6400;Facility Planning, Project Management, and Benchmarking;3;This course introduces the techniques of planning project management, benchmarking, and their applications to facility management.  Includes space forecasting, scheduling and control of projects, and benchmarking studies;Building Construction
BC 6475;Real Estate Development Law;3;Comprehensive overview of legal, property, and entitlement issues associated with the real estate development process;Building Construction
BC 6485;Management of Preconstruction Phase as Owner;3;This course covers the management and oversight activities of the owner and program manager conducted during the pre-design and design phases of a construction project;Building Construction
BC 6500;Real Estate Asset and Income Property Management;3;This course covers real estate financial management and performance topics from a decision making and strategic planning orientation for facilities management professionals;Building Construction
BC 6550;Design and Construction Processes for Integrated Services;3;Offers a framework for use and application of design, contract, and performance documents for successful execution of various forms of integrated project delivery systems;Building Construction
BC 6570;Real Estate Development Basic Finance;3;Comprehensive overview of the business model and financing methodology to analyze and produce new real estate development;Building Construction
BC 6575;Real Estate Production Finance;3;Business model and financing process required to produce new real estate developments through an investigation of land acquisition, development and construction financial management;Building Construction
BC 6585;Management of Construction as Owner;3;Survey of construction management from the owner's perspective;Building Construction
BC 6600;Facilities Management Financial Analysis;3;This course covers real property concepts, issues, and topics pertinent to the facility management professional.  The topics include site selection, property market analysis, legal documents, and land use control;Building Construction
BC 6650;Advanced Project Management;3;A four-phased coverage of project management including organization, planning and scheduling, control, budgeting, and ending with project testing, evaluation, and termination;Building Construction
BC 6675;Residential Design and Construction;3;"Course will examine the application of market, community, and regulatory factors to single family housing design and construction; construction management process required for efficient delivery";Building Construction
BC 6685;Leadership and Communications in Design and Construction;3;Framework and guidelines for effective leadership and communications during design and construction;Building Construction
BC 6700;Advanced Facility Management Practices;3;Students apply specific methods and procedures from core courses to actual business situations in the facility and property management industry;Building Construction
BC 6731;Zero Energy Housing;3;"Design, analysis, operation, construction, and cost feasibility of so-called ""zero energy"" houses.  Credit not allowed for both BC 6731 and ARCH 6731";Building Construction
BC 6800;Facility and Property Management Capstone;3;Designed to integrate the learning from basic topics through the use of actual case studies and situations found within the facility and property management industry;Building Construction
BC 6850;Building Construction and Facility Management Capstone;3;Application of coursework covered in the Master of Science in Building Construction and Facility Management curriculum with a stimulated business construct from different perspectives: construction manager, program manager, or facility manager;Building Construction
BC 6875;Real Estate Development Capstone Project;3;Formulation and exploration of a real estate development project. Topics include business plan, market analysis, site selection, regulations, finance, project delivery, design and engineering;Building Construction
BC 6910;Best Practices in Multi-Family Property;3;A course designed to provide students with a broad range of the best practices related to the management of all types of multi-family residential property;Building Construction
BC 6920;Introduction to Residential Property Management;3;A course designed to orient students to the basics of apartment management and includes the business functions of marketing, leasing, and financing;Building Construction
BC 6930;Intg Design Constr & Dev;3;This course will focus on contemporary integrated approach to design, construction and development.  Course involves real-world project analysis from multiple points aof view. Examples to be selected from the Atlanta region;Building Construction
BC 6975;The Evolution of a Deal;3;Presentations and site visits conducted by developers to expose students to design program implementation, financial structure, and project management;Building Construction
BC 7100;Quantitative Methods for Construction Research;3;Introductory course in graduate research in the building construction industry.  Covers types of research, sampling methods, and basic analysis and evaluation techniques;Building Construction
BC 8100;Research Methodology;3;Research design course that teaches the basics of creating credible scientific research plans with examples from construction related research;Building Construction
BC 8803;Special Topics;3;;Building Construction
BC 8812;Special Topics;2;Topics of current interest in building construction;Building Construction
BC 8813;Special Topics;3;Topics of current interest in building construction;Building Construction
BC 8814;Special Topics;4;Topics of current interest in building construction;Building Construction
BC 8815;Special Topics;5;Topics of current interest in building construction;Building Construction
BC 8823;Special Topics;3;Topics of current interest in building construction;Building Construction
BC 8833;Special Topics;3;Topics of current interest in building construction;Building Construction
BC 8843;Special Topics;3;Topics of current interest in building construction;Building Construction
CETL 4001;Principles of Learning and Teaching I;3;"This course focuses on the knowledge and skills necessary for effective classroom instruction and management including: educational psychology, instructional design and delivery techniques.  May be used as free elective towards BS degrees with department approval.


CETL 4002.  Principles of Teaching and Learning II";Unknown
CETL 4002;Principles of Teaching and Learning II;3;This course focuses on the knowledge and skills necessary for effective classroom instruction and management including instructional planning, assessment, and the teaching professional community.  May be used as free elective towards BS degrees with department approval;Unknown
CETL 4802;Special Topics;2;Topics of Current Interest.  May not be used towards degree requirements;Unknown
CETL 4803;Special Topics;3;Topics of Current Interest.  May not be used towards degree requirements;Unknown
CETL 8713;Teaching and Learning in Higher Education;3;This course explores how to apply evidence-based teaching practices in higher education including principles of learning, student development, inclusive teaching, and instructional strategies;Unknown
CETL 8714;Teach Practicum-HigherEd;2;Apprentice to faculty mentor and help teach a college course.  Get feedback from mentor, CETL, and a peer learning community.  Explore types of academic careers;Unknown
CETL 8715;Teach Practicum-HigherEd;3;Apprentice to faculty mentor and help teach a college course. Get feedback from mentor, CETL, and a peer learning community.  Explore types of academic careers;Unknown
CETL 8717;Course Design for Higher Education;3;This course examines evidence-based teaching, formative and summative assessment, and educational technology as students apply the backward design process in developing a college course;Unknown
CETL 8718;Teaching Capstone in Higher Education;3;Students apply evidence-based teaching and backward design principles, student assessment, peer and mentor feedback through supervised college teaching in this Tech to Teaching certificate capstone;Unknown
CETL 8723;Academic Writing for International Graduate Students;2;This course helps international graduate students enhance their academic writing skills in English through analysis and production of academic writing samples. Credit not awarded for both CETL 8723 and CETL 8722;Unknown
CETL 8791;Instructional Practices for International;2;"Enhancement of English pronunciation and instructional skills for international teaching assistants.  In-class and small-group language practice; discussion of teaching methodology";Unknown
CETL 8792;Classroom English and Pedagogy for International;2;"Enhancement of English pronunciation and instructional skills for international teaching assistants.  In-class and small-group language practice; discussion of teaching methodology; individual tutoring";Unknown
CETL 8793;Oral Skills for International Graduate Students;2;An oral skills class designed to help graduate students become more accurate and fluent in both verbal and nonverbal skills. In addition to working on acquiring an American accent and body language when speaking English, students will work on basic presentation skills. Credit will not be awarded for CETL 8793 and CETL 8797;Unknown
CETL 8795;Advanced Oral Skills for International Graduate Students and Teaching Assistants;2;An advanced oral skills class designed to help graduate students improve their verbal ability in English for teaching, making presentations, and interacting in academic and professional situations. Credit will not be awarded for both CETL 8796 and CETL 8795;Unknown
CETL 8796;Presentation Skills for International Graduate Students;2;This advanced oral skills class is designed to help graduate students improve their presentation skills in English for more effective communication in academic/professinal situations. Credit will not be awarded for both CETL 8795 and CETL 8796;Unknown
CETL 8797;Oral Communication for International Graduate Students;2;In this class, students work on fluency, pronunciation clarity, and appropriateness in spoken communication to prepare for effective and confident participation in their academic communities. Credit will not be awarded for both CETL 8797 and CETL 8793;Unknown
CETL 8802;Special Topics;2;;Unknown
CETL 8803;Special Topics;3;;Unknown
CHBE 1750;Introduction to Bioengineering;3;"An introduction to the field of bioengineering, including the application of engineering principles and methods to problems in biology and medicine, the integration of engineering with biology, and the emerging industrial opportunities. Crosslisted with AE, BMED, ECE, ME, and MSE 1750.


CHBE 1801.  Special Topics.  1 Credit Hour.

Special Topics in CHBE.


CHBE 1XXX.  Chemical and Biomolecular Engineering Elective.  1-21 Credit Hours.



CHBE 2100.  Chemical Process Principles";Chemical & Biomolecular Engr
CHBE 2100;Chemical Process Principles;3;Material and energy balances for single-phase and multi-phase processes common to chemical engineering. Phase equilibrium and analysis of reacting systems;Chemical & Biomolecular Engr
CHBE 2110;Chemical Engineering Thermodynamics I;3;Elements of engineering thermodynamics. First and second laws. Analysis of engineering machinery: compressors, turbines, engines, refrigeration.  Credit not allowed for both CHBE 2110 and  CHBE 2130;Chemical & Biomolecular Engr
CHBE 2120;Numerical Methods in Chemical Engineering;3;Numerical methods are introduced and applied to the solution of chemical engineering problems. An introduction to chemical process simulation, and the appropriate software is provided;Chemical & Biomolecular Engr
CHBE 2130;Chemical Engineering  Thermodynamics I;2;Basic principles of chemical engineering thermodynamics including first and second laws, equations of state, PVT properties, power cycles and refrigeration.  Credit not allowed for both CHBE 2130 and CHBE 2110;Chemical & Biomolecular Engr
CHBE 2140;Chemical Engineering Thermodynamics;4;"Principles of thermodynamics, including: first and second laws; equations of state; PVT properties; power cycles and refrigeration; phase equilibria; fugacity and activity coefficients; multi-reaction equilibrium";Chemical & Biomolecular Engr
CHBE 2801R;CHBE 2801 Recitation;0;Designed to provide time for application of conceptual knowledge and extension of instruction. Optional and non-billable;Chemical & Biomolecular Engr
CHBE 2803;Special Topics;3;Topics relevant to chemical engineering not currently covered in the undergraduate curriculum are presented as demand or interest warrants;Chemical & Biomolecular Engr
CHBE 3110;Chemical Engineering Thermodynamics II;3;Phase and chemical reaction equilibria. Vapor-liquid, liquid-liquid, and solid-vapor phase equilibrium Fugacity and activity coefficients. Multi-reaction equilibrium.  Credit not allowed for both CHBE 3110 and CHBE 3130;Chemical & Biomolecular Engr
CHBE 3130;Chemical Engineering Thermodynamics II;3;Basic principles of chemical engineering solution and phase equilibrium thermodynamics, including ideal and non-ideal solution models and phase equilibira calculations (VLE, SLE, LLE).  Credit not allowed for both CHBE 3130 and CHBE 3110;Chemical & Biomolecular Engr
CHBE 3200;Transport Process I;3;Fundamentals of fluid mechanics and heat transfer. The design and analysis of equipment using the principles of fluid mechanics and heat transfer;Chemical & Biomolecular Engr
CHBE 3205;Fluid Mechanics;2;The basic principles of fluid mechanics are introduced and the analysis and design of equipment using these principles is practiced;Chemical & Biomolecular Engr
CHBE 3210;Transport Processes II;3;Fundamental principles and applications of mass transfer. The analysis of chemical engineering processes and operations involving mass transfer;Chemical & Biomolecular Engr
CHBE 3215;Heat & Mass Transfer;4;Fundamental principles and applications of heat and mass transfer. The analysis of chemical engineering processes and operations involving heat and mass transfer;Chemical & Biomolecular Engr
CHBE 3225;Separations Processes;3;Fundamentals of equilibrium-stage and continuous contacting operations.  Applications of principles to distillation, absorption/stripping, extraction, absorption, and other separation technologies;Chemical & Biomolecular Engr
CHBE 3300;Chemical Kinetics and Catalysis;2;The basic principles of chemical reaction kinetics, including rate laws, mechanisms, and heterogeneous catalysis are introduced;Chemical & Biomolecular Engr
CHBE 3600;Engineering Ethics and Leadership;3;Development of quantitative and qualitative assessment tools to resolve moral and ethical dilemmas that arise in the performance of engineering duties;Chemical & Biomolecular Engr
CHBE 4020;Chemical Engineering in Nanoscale Systems;3;Application of chemical processing fundamentals, fabrication, and characterization to design and analyze technologically important nanoscale systems. The course emphasizes an integrated engineering and science approach;Chemical & Biomolecular Engr
CHBE 4030;Chemical Engineering of Energy Systems;3;Students will acquire the knowledge and tools to analyze CHP systems, traditional power generation, refinery and biorefinery configurations and advanced power generation and storage options;Chemical & Biomolecular Engr
CHBE 4050;The Science and Engineering of Microelectronic Fabrication;3;An elective class for students interested in fabrication of semiconductor devices focusing on the fundamentals of materials synthesis, chemical and mechanical properties, and chemical reactions. Credit will not be awarded for both CHBE 4050 and CHBE 6050;Chemical & Biomolecular Engr
CHBE 4200;Unit Operations Laboratory;3;This course illustrates engineering/scientific principles and physical models important to the data collection/ interpretation of processes important to the practice of chemical engineering;Chemical & Biomolecular Engr
CHBE 4210;Transport Phenomena / Bioprocess Unit Operations;3;This course illustrates engineering/scientific principles and physical models important to the data collection/interpretation of processes important in biotechnology;Chemical & Biomolecular Engr
CHBE 4300;Kinetics and Reactor Design;3;Reacting systems are analyzed in terms of reaction mechanisms, kinetics, and reactor design.  Both homogeneous and heterogeneous reactions are considered;Chemical & Biomolecular Engr
CHBE 4310;Bioprocess Engineering;3;Integrating several ChBE core concepts, bioprocess engineering applies the material to biological systems. Items covered are enzyme kinetics, fermentation, downstream processing, and integrated bioprocesses important to the biotech industries;Chemical & Biomolecular Engr
CHBE 4320;Reactor Design;2;"The basic principles of reactor design are introduced, including material and energy balances for homogeneous and heterogeneous
systems";Chemical & Biomolecular Engr
CHBE 4400;Chemical Process Control;4;Dynamics of chemical processes and their control. Techniques of conventional process control as well as digital control. Laboratory experiments to illustrate these concepts;Chemical & Biomolecular Engr
CHBE 4411;Process Dynamics and Control;3;Dynamics of chemical processes and their control. Techniques of conventional process control as well as digital control;Chemical & Biomolecular Engr
CHBE 4505;Process Design and Economics;3;Principles of flowsheet synthesis and economic analysis and optimization.  A complete design on a chemical process will be undertaken, including concepts of unit operations, design, economics, and safety.  Credit not allowed for both CHBE 4505 and CHBE 4530 (or CHBE 4520);Chemical & Biomolecular Engr
CHBE 4510;Process and Product Design And Economics;2;Basic principles of chemical process and product design including heuristic design approaches, heat exchanger network design, optimization, and economic evaluation.  Credit not allowed for both CHBE 4510 and CHBE 4505 (or CHBE 4525);Chemical & Biomolecular Engr
CHBE 4520;Chemical Engineering Capstone Design Project;2;Basic principles of chemical process and product design including heuristic design approaches heat exchanger network design, optimization, and economic evaluation.  Credit not allowed for both CHBE 4520 and CHBE 4505 (or CHBE 4525);Chemical & Biomolecular Engr
CHBE 4525;Bioprocess Design and Economics;3;Principles of flowsheet synthesis and economic analysis and optimization. A complete design of a biochemical process will be undertaken, including concepts of unit operations, design, economics, and safety.  Credit not allowed for both CHBE 4525 and CHBE 4530 (or CHBE 4520);Chemical & Biomolecular Engr
CHBE 4530;Capstone ChBE Bio-Design;2;Basic principles of chemical process and product design including heuristic design approaches, heat exchanger network design, optimization, and economic evaluation.  Credit not allowed for both CHBE 4530 and CHBE 4505 (or 4525);Chemical & Biomolecular Engr
CHBE 4535;Chemical Product Design, Engineering and Optimization;3;Chemical engineering principles applied to the design of products;Chemical & Biomolecular Engr
CHBE 4573;Pulping and Bleaching Laboratory;2;Experiments of pulping, bleaching, fiber, and chemical testing are performed.  Hands-on experience from chip preparation, cooking, pulp processing, and bleaching are provided;Chemical & Biomolecular Engr
CHBE 4574;Papermaking and Recycled Pulp Laboratory;2;Experiments of pulp preparation, refining, paperforming, handsheet testing, deinking, and recycled pulp processing are performed. Small paper machine operation will be taught;Chemical & Biomolecular Engr
CHBE 4600;Effective Communication for Professional Engineering;3;How engineers communicate with engineering and non-engineering professionals.  Industry speakers from different fields.  Engineering case study. Weekly written and/or oral presentations;Chemical & Biomolecular Engr
CHBE 4610;Complex Fluids - Microstructure and Mechanical Properties;3;Complex fluids have interesting, practically relevant mechanical properties that arise from complex microstructures. This course covers fundamental physical principles, experimental characterization techniques and current topics;Chemical & Biomolecular Engr
CHBE 4710;Microfluidics and Bio Applications;3;The course focuses on the fluid and flow aspects of micro and nano devices. It will cover basic micro/nanofabrication techniques, introduce transport of momentum and materials (including charged and magnetic materials) in small scale, and the applications in biology and medicine;Chemical & Biomolecular Engr
CHBE 4720;Pulp and Paper Manufacturing;3;The course provides comprehensive foundational knowledge of the industry enabling the student to understand the role of diverse manufacturing operations and to strategically plan improvements;Chemical & Biomolecular Engr
CHBE 4730;Emerging Technologies for Forest Bioproducts;3;The course provides comprehensive knowledge of the manufacture of nontraditional products from forest biomaterials. It analyzes and assesses emerging manufacturing technologies, materials and products;Chemical & Biomolecular Engr
CHBE 4743;Fundamentals and Challenges for a Sustainable Chemical Enterprise;3;Life Cycle Inventory methodology will be explored as a means to develop new, sustainable products, materials and manufacturing processes;Chemical & Biomolecular Engr
CHBE 4745;Data Analytics for Chemical Engineers;3;Introduction to data analytics and machine learning techniques for chemical engineers. Application of basic regression, classification, dimensional reduction, and clustering techniques to chemical data sets;Chemical & Biomolecular Engr
CHBE 4746;Data-Driven Process Systems Engineering;3;This course covers theory of optimization and data-driven modeling methods, and examples of data-driven decision-making in the chemical process industry;Chemical & Biomolecular Engr
CHBE 4752;Integrated Circuit Fabrication;3;The objective of this course is to give students exposure to the various steps involved in the fabrication of integrated circuits and devices.  This course will include a laboratory segment in which students fabricate MOS transistors, diffused resistors, and MOS capacitors from a bare silicon substrate.  Crosslisted with ECE 4752;Chemical & Biomolecular Engr
CHBE 4755;Electronic Packaging Substrate Fabrication;3;This course provides hands-on instruction in basic packaging substrate fabrication techniques, including interconnect design and testing, dielectric deposition, via formation, and metallization. Crosslisted with ECE 4755;Chemical & Biomolecular Engr
CHBE 4757;Biofluid Mechanics;3;Introduction to the study of blood flow in the cardiovascular system. Emphasis on modeling and the potential of flow studies for clinical research application. Crosslisted with AE and ME 4757;Chemical & Biomolecular Engr
CHBE 4758;Biosolid Mechanics;3;The mechanics of living tissue, e.g., arteries, skin, heart muscle, ligament, tendon, cartilage, and bone. Constitutive equations and some simple mechanical models. Mechanics of cells. Applications. Crosslisted with AE and ME 4758;Chemical & Biomolecular Engr
CHBE 4759;Electrochemical Energy Storage and Conversion;3;An elective class for senior-level students interested in electrochemical storage and covnersion, including the fundamentals of electrochemistry and practical battery and fuel cells;Chemical & Biomolecular Engr
CHBE 4760;Biocatalysis and Metabolic Engineering;3;This course provides an in-depth coverage of various topics in biocatalysis and metabolic engineering. Goals of this course are the development of an understanding of proteins as catalysts, their functioning in metabolic networks, their application in various industries, recognition of their potential for addressing future challenges in science and engineering. Crosslisted with CHEM 4760;Chemical & Biomolecular Engr
CHBE 4762;Protein Engineering;3;This course covers the theory and practice of protein engineering methods, including specific examples of engineered proteins and their applications from the literature;Chemical & Biomolecular Engr
CHBE 4763;Pulping and Chemical Recovery;3;Pulping and chemical recovery processes are studied on the reaction, delignification, energy, and liquor reuse.  The process optimization, air and water pollution minimization are taught. Crosslisted with ME 4763;Chemical & Biomolecular Engr
CHBE 4764;Bleaching and Papermaking;3;Pulp bleaching and formation of paper/board products are studied along with testing, end uses, chemical and mechanical treatment of pulp, non-wood and recycled fiber utilization. Crosslisted with ME 4764;Chemical & Biomolecular Engr
CHBE 4765;Drug Design, Development and Delivery;3;Introduction to the pharmaceutical development process, including design of new drugs, synthesis and manufacturing issues, and methods for delivery into the body. Includes student presentations. Crosslisted with CHEM and BMED 4765;Chemical & Biomolecular Engr
CHBE 4767;Pulp And Paper Lab;3;Fundamentals of pulp and paper testing procedures;Chemical & Biomolecular Engr
CHBE 4770;Nuclear Chemical Engineering;3;This course surveys the chemical engineering aspects of nuclear power.  Topics include nuclear reactions, fuel cycles, solvent extraction of metals, the properties of actinides and other irradiated fuel materials, fuel reprocessing, and radioactive waste management.  Crosslisted with NRE 4770;Chemical & Biomolecular Engr
CHBE 4775;Polymer Science and Engineering I: Formation and Properties;3;An introduction to the chemistry, structure, and formation of polymers, physical states and transitions, physical and mechanical properties to polymer fluids and solids. Crosslisted with CHEM, ME, MSE, and PTFE 4775;Chemical & Biomolecular Engr
CHBE 4776;Polymer Science and Engineering II: Analysis, Processing and Laboratory;3;Polymer fabrication processes and methods of characterization and identification of polymers are presented. Experiments in polymerization, processing and property evaluation of polymers.  Crosslisted with CHEM, ME, MSE, and TFE 4776;Chemical & Biomolecular Engr
CHBE 4781;Biomedical Instrumentation;3;A study of medical instrumentation from a systems viewpoint. Pertinent physiological and electro-physiological concepts will be covered. Credit not allowed for both CHBE 4781 and (CHE 4781 or ECE 4781 or BMED 4781 or ME 4781);Chemical & Biomolecular Engr
CHBE 4782;Biosystems Analysis;3;Analytical methods for modeling biological systems, including white-noise protocols for characterizing nonlinear systems. Crosslisted with BMED, ECE and ME 4782;Chemical & Biomolecular Engr
CHBE 4791;Mechanical Behavior of Composites;3;Stress-strain behavior of composites, property of matrix and reinforcing materials, mechanics of fiber-reinforced composites, lamina and laminate analysis, and mechanical performance. Crosslisted with AE, CEE, ME, MSE, and PTFE 4791;Chemical & Biomolecular Engr
CHBE 4793;Composite Materials and Processes;3;Basic principles of selection and design of composite materials and their manufacturing and testing. Cost factors. Laboratory exercises on manufacturing and tests. Crosslisted with AE, CEE, ME, MSE, and PTFE 4793;Chemical & Biomolecular Engr
CHBE 4794;Composite Materials and Manufacturing;4;Basic principles of selection and design of composite materials and their manufacturing and testing. Cost factors. Laboratory exercises on manufacturing and tests. Crosslisted with AE, CEE, ME, MSE, and PTFE 4794;Chemical & Biomolecular Engr
CHBE 4802;Special Topics;2;Topics relevant to chemical engineering not currently covered in the undergraduate curriculum are presented as as demand or interest warrants;Chemical & Biomolecular Engr
CHBE 4803;Special Topics;3;Topics relevant to chemical engineering not currently covered in the undergraduate curriculum are presented as demand or interest warrants;Chemical & Biomolecular Engr
CHBE 4804;Special Topics;4;Topics relevant to chemical engineering not currently covered in the undergraduate curriculum are presented as demand or interest warrants;Chemical & Biomolecular Engr
CHBE 4805;Special Topics;5;Topics relevant to chemical engineering not currently covered in the undergraduate curriculum are presented as demand or interest warrants;Chemical & Biomolecular Engr
CHBE 4806;Special Topics;6;Topics relevant to chemical engineering not currently covered in the undergraduate curriculum are presented as demand or interest warrants;Chemical & Biomolecular Engr
CHBE 4853;Special Topics;3;Topics relevant to chemical engineering not currently covered in the undergraduate curriculum are presented as demand or interest warrants;Chemical & Biomolecular Engr
CHBE 4873;Special Topics;3;Topics relevant to chemical engineering not currently covered in the undergraduate curriculum are presented as demand or interest warrants;Chemical & Biomolecular Engr
CHBE 6020;Chemical Engineering in Nanoscale Systems;3;Application of chemical processing fundamentals, fabrication, and characterization to design and analyze technologically important nanoscale systems.  The course emphasizes an integrated engineering and science approach;Chemical & Biomolecular Engr
CHBE 6030;Chemical Engineering of Energy Systems;3;Students will acquire the knowledge and tools to analyze CHP systems, traditional power generation, refinery and biorefinery configurations and advanced power generation and storage options;Chemical & Biomolecular Engr
CHBE 6050;The Science and Engineering of Microelectronic Fabrication;3;An elective class for students interested in fabrication of semiconductor devices focusing on the fundamentals of materials synthesis, chemical and mechanical properties, and chemical reactions. Credit will not be awarded for both CHBE 6050 and CHBE 4050;Chemical & Biomolecular Engr
CHBE 6100;Advanced Chemical Engineering Thermodynamics;3;Equations of state, corresponding states, and activity coefficient models and their relationship to intermolecular forces.  Phase and chemical equilibria in chemical engineering;Chemical & Biomolecular Engr
CHBE 6110;Thermodynamics of Systems of Large Molecules;3;Classical and statistical thermodynamics of systems that are important in chemical, biochemical, and polymer processing;Chemical & Biomolecular Engr
CHBE 6120;Molecular Modeling;3;Introduction to computational chemistry techniques for modeling substances at the molecular level, including: ab initio and semiempirical quantum methods, molecular dynamics, and Monte Carlo methods;Chemical & Biomolecular Engr
CHBE 6130;Electrochemical Engineering;3;Electrochemical thermodynamics and kinetics. Corrosion. Applications to semiconductor devices, fuel cells, and batteries;Chemical & Biomolecular Engr
CHBE 6200;Advanced Transport Phenomena, Fluid Mechanics, and Heat;3;Transfer Viscous fluid mechanics and convective heat transfer. Scaling analysis and lubrication. Stokes, and boundary layer flows.  Transport about solid bodies. Linear stability theory;Chemical & Biomolecular Engr
CHBE 6210;Fluid Mechanics of Two-Phase Flow;3;Two-phase flow of nondeformable particles in Newtonian fluids.  Rigorous results in the limit of small Reynolds number motions and applications to suspensions and colloids;Chemical & Biomolecular Engr
CHBE 6220;Computational Fluid Dynamics: Applications in Environmental;3;Applications in Environmental and Chemical Processes. Introduction to numerical methods for solving transport problems.  Applications to problems of interest in environmental and chemical processes;Chemical & Biomolecular Engr
CHBE 6229;Introduction to MEMS;3;Introduction to Micro-Electro-Mechanical Systems:  Microfabrication techniques including: photolithography, etching, physical and chemical vapor deposition, electroplating, bonding and polymer processing.  Application to sensors and actuators;Chemical & Biomolecular Engr
CHBE 6230;Industrial Emissions Control;3;Analysis of air quality criteria, ambient and emission standards, and industrial pollution sources.  Recovery and utilization of waste gases and particulate matter;Chemical & Biomolecular Engr
CHBE 6231;Environmental Modeling in the Forest Products Industry;3;The science and engineering of waste treatment processes in the pulp and paper industry;Chemical & Biomolecular Engr
CHBE 6232;Chemical Engineering Processes in Pulp & Paper Manufacturing;3;To study the details of some of the major unit operations in pulp and paper manufacturing;Chemical & Biomolecular Engr
CHBE 6240;Advanced Separation Processes;3;This course provides an advanced analysis of separation process technology, with special emphasis on new separation techniques and their applications;Chemical & Biomolecular Engr
CHBE 6250;Mass Transport through Solids;3;An in-depth introduction to transport of penetrants in and through solids.  Convective flow through porous media, and conductive flow through homogenous solids.  Membrane separations;Chemical & Biomolecular Engr
CHBE 6260;Transport Phenomena-Mass Transfer;3;Mass transport processes and material properties that affect them.  Principles of both steady- and unsteady-state molecular diffusion are developed and transfer mechanisms examined;Chemical & Biomolecular Engr
CHBE 6300;Kinetics and Reactor Design;3;A study of chemical kinetics and mechanisms in complex homogeneous and heterogeneous reaction systems. Design and analysis of chemical reactors for such systems;Chemical & Biomolecular Engr
CHBE 6310;Applied Chemical Kinetics;3;Applications of chemical kinetics to homogeneous and heterogeneous gas and liquid reactions, including techniques and analyses;Chemical & Biomolecular Engr
CHBE 6320;Heterogeneous Catalysis;3;"Physics and chemistry of surfaces; thermodynamics, kinetics, and mechanism of adsorption and surface reactions; modern instrumental analyses; and industrial catalysis";Chemical & Biomolecular Engr
CHBE 6400;Advanced Process Control;3;Fundamentals of multivariate control theory as applied to chemical processes;Chemical & Biomolecular Engr
